customer_id,region_id,datetime,hour,day_of_week,is_weekend,holiday,temperature,peak_hour,tariff,customer_profile,consumption_kwh,alert
1,R1,7/1/2025 0:00,0,1,0,0,23.9,0,low,normal,0.265,normal
1,R1,7/1/2025 1:00,1,1,0,0,24.6,0,low,normal,0.275,normal
1,R1,7/1/2025 2:00,2,1,0,0,25.8,0,low,normal,0.287,normal
1,R1,7/1/2025 3:00,3,1,0,0,24.4,0,low,normal,0.264,normal
1,R1,7/1/2025 4:00,4,1,0,0,22.3,0,low,normal,0.264,normal
1,R1,7/1/2025 5:00,5,1,0,0,24,0,low,normal,0.288,normal
1,R1,7/1/2025 6:00,6,1,0,0,33,0,low,normal,0.504,normal
1,R1,7/1/2025 7:00,7,1,0,0,29.3,0,normal,normal,0.474,normal
1,R1,7/1/2025 8:00,8,1,0,0,30.6,0,normal,normal,0.498,normal
1,R1,7/1/2025 9:00,9,1,0,0,27.6,0,normal,normal,0.403,normal
1,R1,7/1/2025 10:00,10,1,0,0,27.8,0,normal,normal,0.403,normal
1,R1,7/1/2025 11:00,11,1,0,0,32.2,0,normal,normal,0.417,normal
1,R1,7/1/2025 12:00,12,1,0,0,36.4,0,normal,normal,0.373,normal
1,R1,7/1/2025 13:00,13,1,0,0,36.4,0,normal,normal,0.537,normal
1,R1,7/1/2025 14:00,14,1,0,0,37.1,0,normal,normal,0.438,normal
1,R1,7/1/2025 15:00,15,1,0,0,41.7,0,normal,normal,0.478,normal
1,R1,7/1/2025 16:00,16,1,0,0,34.7,0,normal,normal,0.923,normal
1,R1,7/1/2025 17:00,17,1,0,0,40.6,1,high,normal,0.992,normal
1,R1,7/1/2025 18:00,18,1,0,0,30.4,1,high,normal,0.856,normal
1,R1,7/1/2025 19:00,19,1,0,0,33.9,1,high,normal,0.957,normal
1,R1,7/1/2025 20:00,20,1,0,0,34.9,1,high,normal,0.787,normal
1,R1,7/1/2025 21:00,21,1,0,0,30.4,1,high,normal,0.763,normal
1,R1,7/1/2025 22:00,22,1,0,0,28.9,1,high,normal,0.728,normal
1,R1,7/1/2025 23:00,23,1,0,0,29,0,normal,normal,0.414,normal
1,R1,7/2/2025 0:00,0,2,0,0,25,0,low,normal,0.248,normal
1,R1,7/2/2025 1:00,1,2,0,0,22.6,0,low,normal,0.255,normal
1,R1,7/2/2025 2:00,2,2,0,0,23,0,low,normal,0.252,normal
1,R1,7/2/2025 3:00,3,2,0,0,22.8,0,low,normal,0.26,normal
1,R1,7/2/2025 4:00,4,2,0,0,23.4,0,low,normal,0.239,normal
1,R1,7/2/2025 5:00,5,2,0,0,22.3,0,low,normal,0.269,normal
1,R1,7/2/2025 6:00,6,2,0,0,32.1,0,low,normal,0.528,normal
1,R1,7/2/2025 7:00,7,2,0,0,32.2,0,normal,normal,0.491,normal
1,R1,7/2/2025 8:00,8,2,0,0,29.5,0,normal,normal,0.469,normal
1,R1,7/2/2025 9:00,9,2,0,0,30.7,0,normal,normal,0.411,normal
1,R1,7/2/2025 10:00,10,2,0,0,30.9,0,normal,normal,0.374,normal
1,R1,7/2/2025 11:00,11,2,0,0,31.5,0,normal,normal,0.363,normal
1,R1,7/2/2025 12:00,12,2,0,0,38.2,0,normal,normal,0.409,normal
1,R1,7/2/2025 13:00,13,2,0,0,38.1,0,normal,normal,0.47,normal
1,R1,7/2/2025 14:00,14,2,0,0,39.1,0,normal,normal,0.445,normal
1,R1,7/2/2025 15:00,15,2,0,0,39.6,0,normal,normal,0.548,normal
1,R1,7/2/2025 16:00,16,2,0,0,36.8,0,normal,normal,0.832,normal
1,R1,7/2/2025 17:00,17,2,0,0,36.6,1,high,normal,1.017,normal
1,R1,7/2/2025 18:00,18,2,0,0,29.9,1,high,normal,0.974,normal
1,R1,7/2/2025 19:00,19,2,0,0,31.8,1,high,normal,0.794,normal
1,R1,7/2/2025 20:00,20,2,0,0,30.5,1,high,normal,0.73,normal
1,R1,7/2/2025 21:00,21,2,0,0,31.8,1,high,normal,0.753,normal
1,R1,7/2/2025 22:00,22,2,0,0,30.8,1,high,normal,0.701,normal
1,R1,7/2/2025 23:00,23,2,0,0,33.9,0,normal,normal,0.413,normal
1,R1,7/3/2025 0:00,0,3,0,0,22.3,0,low,normal,0.224,normal
1,R1,7/3/2025 1:00,1,3,0,0,24.3,0,low,normal,0.248,normal
1,R1,7/3/2025 2:00,2,3,0,0,24.3,0,low,normal,0.719,normal
1,R1,7/3/2025 3:00,3,3,0,0,23.5,0,low,normal,0.226,normal
1,R1,7/3/2025 4:00,4,3,0,0,23.7,0,low,normal,0.237,normal
1,R1,7/3/2025 5:00,5,3,0,0,25.2,0,low,normal,0.249,normal
1,R1,7/3/2025 6:00,6,3,0,0,28.7,0,low,normal,0.45,normal
1,R1,7/3/2025 7:00,7,3,0,0,32.2,0,normal,normal,0.465,normal
1,R1,7/3/2025 8:00,8,3,0,0,32.4,0,normal,normal,0.44,normal
1,R1,7/3/2025 9:00,9,3,0,0,30.9,0,normal,normal,0.43,normal
1,R1,7/3/2025 10:00,10,3,0,0,31.6,0,normal,normal,0.351,normal
1,R1,7/3/2025 11:00,11,3,0,0,30.7,0,normal,normal,0.36,normal
1,R1,7/3/2025 12:00,12,3,0,0,38.2,0,normal,normal,0.366,normal
1,R1,7/3/2025 13:00,13,3,0,0,41.7,0,normal,normal,0.42,normal
1,R1,7/3/2025 14:00,14,3,0,0,36.3,0,normal,normal,0.438,normal
1,R1,7/3/2025 15:00,15,3,0,0,35.2,0,normal,normal,0.465,normal
1,R1,7/3/2025 16:00,16,3,0,0,36.3,0,normal,normal,0.849,normal
1,R1,7/3/2025 17:00,17,3,0,0,38.9,1,high,normal,0.878,normal
